Rider,Team,GC,TT,Sprint,Climber,Classic,Age,crawl_date
Primož Roglič,Team Jumbo-Visma,3581,2491,214,2572,512,30,2020-02-06
Julian Alaphilippe,Deceuninck - Quick Step,1808,995,1326,3364,3470,27,2020-02-06
Alejandro Valverde,Movistar Team,12065,4575,5474,13660,11753,39,2020-02-06
Jakob Fuglsang,Astana Pro Team,5445,1371,817,4845,2674,34,2020-02-06
Egan Bernal,Team INEOS,2371,406,156,1889,677,23,2020-02-06
Greg Van Avermaet,CCC Team,3316,568,7228,3617,10427,34,2020-02-06
Pascal Ackermann,BORA - hansgrohe,90,0,2679,300,2110,26,2020-02-06
Elia Viviani,"Cofidis, Solutions Crédits",821,160,8128,320,4079,30,2020-02-06
Caleb Ewan,Lotto Soudal,198,148,4530,201,1224,25,2020-02-06
Alexander Kristoff,UAE-Team Emirates,1953,291,10926,461,8044,32,2020-02-06
Matteo Trentin,CCC Team,433,243,3452,952,2866,30,2020-02-06
Peter Sagan,BORA - hansgrohe,1496,1276,13438,3038,8791,30,2020-02-06
Tadej Pogačar,UAE-Team Emirates,1019,201,272,1020,165,21,2020-02-06
Bauke Mollema,Trek - Segafredo,5128,1446,966,6589,3792,33,2020-02-06
Mathieu van der Poel,Alpecin-Fenix,524,239,1468,110,1368,25,2020-02-06
Oliver Naesen,AG2R La Mondiale,1035,33,1835,664,3186,29,2020-02-06
Emanuel Buchmann,BORA - hansgrohe,2215,226,74,2021,605,27,2020-02-06
Sam Bennett,Deceuninck - Quick Step,243,41,5040,246,1722,29,2020-02-06
Dylan Groenewegen,Team Jumbo-Visma,246,13,6046,10,2319,26,2020-02-06
Alexey Lutsenko,Astana Pro Team,1679,545,1106,1200,1251,27,2020-02-06
Adam Yates,Mitchelton-Scott,2745,446,172,3300,1248,27,2020-02-06
Nairo Quintana,Team Arkéa Samsic,7771,1255,157,6372,469,30,2020-02-06
Mike Teunissen,Team Jumbo-Visma,700,264,1447,92,1091,27,2020-02-06
Diego Ulissi,UAE-Team Emirates,3274,829,1728,3384,3770,30,2020-02-06
Tim Wellens,Lotto Soudal,2482,802,752,1938,2768,28,2020-02-06
Miguel Ángel López,Astana Pro Team,2589,398,153,2706,222,26,2020-02-06
Michael Matthews,Team Sunweb,690,1317,4893,1532,4582,29,2020-02-06
Michael Woods,EF Pro Cycling,1135,18,274,2186,1586,33,2020-02-06
